Composer_ID,Composer_Name,Composer_Born,Composer_Death
1,John Lennon,09/10/1940,08/12/1980
2,Paul McCartney,18/04/1942,N/A
3,George Harrison,25/02/1943,29/11/2001
4,Ringo Starr,07/05/1940,N/A
5,Arthur Alexander,N/A,N/A
6,Gerry Goffin,N/A,N/A
7,Carole King,N/A,N/A
8,Luther Dixon,N/A,N/A
9,Wes Farrell,N/A,N/A
10,Mack David,N/A,N/A
11,Barney Williams,N/A,N/A
12,Burt Bacharach,N/A,N/A
13,Bobby Scott,N/A,N/A
14,Ric Marlow,N/A,N/A
15,Phil Medley,N/A,N/A
16,Bert Russell,N/A,N/A
17,Johnny Russell,N/A,N/A
18,Voni Morrison,N/A,N/A
19,Larrry Williams,N/A,N/A
20,Richard Starkey,N/A,N/A
